Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,type,Gene_Symbol
ENSG00000138115,1.968514958,0.071295618,0.189520225,0.375965668,0.70694242,0.85092315,Not significant,CYP2C8
ENSG00000288526,3.655155421,0.065421432,0.232165509,0.281942329,0.777987732,0.889635659,Not significant,
ENSG00000225533,2.844621917,0.232314742,0.210742044,1.11231891,0.266001056,0.496198921,Not significant,PAWRP1
ENSG00000173124,6.465747352,0.026329135,0.259383186,0.101506255,0.919148593,0.961869414,Not significant,ACSM6
ENSG00000107438,4591.762798,0.054103951,0.103030463,0.525126201,0.599495463,0.780556162,Not significant,PDLIM1
ENSG00000095637,1242.930655,-0.380412786,0.109546845,-3.472488176,0.000515658,0.003876215,Not significant,SORBS1
ENSG00000059573,3730.33366,0.004008161,0.109636131,0.036558827,0.970836773,0.990865668,Not significant,ALDH18A1
ENSG00000119977,1201.824811,0.018882852,0.118314746,0.159599276,0.873196749,0.941716496,Not significant,TCTN3
ENSG00000138185,1.865304824,-0.03792697,0.173752896,-0.21934512,0.826381217,0.918581583,Not significant,ENTPD1
ENSG00000226688,228.5506209,0.020329842,0.143439353,0.141735167,0.887289196,0.947297012,Not significant,ENTPD1-AS1
ENSG00000287009,7.989842679,-0.150663628,0.263498266,-0.571919537,0.567376488,0.759653708,Not significant,
ENSG00000177853,3464.382446,0.084935312,0.108103966,0.785682146,0.432053725,0.655075787,Not significant,ZNF518A
ENSG00000095585,3.330375594,0.197606861,0.224409706,0.88358752,0.376918918,0.606246879,Not significant,BLNK
ENSG00000095587,28.30227351,1.502399088,0.250902209,5.766906805,8.07E-09,1.60E-07,Up,TLL2
ENSG00000077147,8672.200469,0.133236732,0.108405126,1.229063204,0.21904811,0.440473218,Not significant,TM9SF3
ENSG00000155629,634.1778017,1.090253591,0.11465376,9.502630527,2.05E-21,1.49E-19,Up,PIK3AP1
ENSG00000236552,575.4028193,0.021040617,0.120107187,0.17518216,0.860936502,0.935851824,Not significant,RPL13AP5
ENSG00000196233,2779.272731,0.093955303,0.107602884,0.873168482,0.382571251,0.611444178,Not significant,LCOR
ENSG00000187122,24.72111599,0.899229944,0.258314105,3.448360513,0.000564001,0.004181868,Not significant,SLIT1
ENSG00000269891,15.80494714,-0.155094418,0.266459424,-0.58207486,0.560516258,0.754873464,Not significant,ARHGAP19-SLIT1
ENSG00000165879,175.8603765,0.072005502,0.160234843,0.449368546,0.653165818,0.815429453,Not significant,FRAT1
ENSG00000181274,829.4830653,0.470055754,0.125246681,3.752769738,0.000174891,0.00151191,Not significant,FRAT2
ENSG00000225850,18.60967378,-0.157820894,0.260935264,-0.604759627,0.545338723,0.74396377,Not significant,
ENSG00000052749,2885.633005,0.088338571,0.111257809,0.793999132,0.427195937,0.650935559,Not significant,RRP12
ENSG00000171314,5212.412892,-0.218733896,0.104764116,-2.087867673,0.036809773,0.127843858,Not significant,PGAM1
ENSG00000171311,970.2506117,-0.046389849,0.117750166,-0.393969099,0.693603853,0.84347271,Not significant,EXOSC1
ENSG00000171307,770.9518584,0.021274748,0.120201694,0.176992283,0.859514451,0.935120959,Not significant,ZDHHC16
ENSG00000155229,2700.013939,0.036748932,0.113201783,0.324632828,0.745458979,0.872229217,Not significant,MMS19
ENSG00000165886,150.520908,0.352209476,0.154094767,2.284986129,0.022313641,0.087331433,Not significant,UBTD1
ENSG00000165887,4.495893506,0.539742427,0.240337129,2.23380382,0.025495984,0.096895047,Not significant,ANKRD2
ENSG00000249967,3.812082073,0.225790362,0.232619373,0.971933141,0.331083811,0.563417318,Not significant,
ENSG00000155252,1220.825386,-0.149985785,0.111980465,-1.339387896,0.180444428,0.390290762,Not significant,PI4K2A
ENSG00000119986,323.9170721,-0.02307337,0.129807413,-0.177751464,0.858918166,0.934941974,Not significant,AVPI1
